Mouse,Cage,Drg,Sex,GROUP,BD,age t0,death original,death,Lifespan (BD-death),"Age stratification (LF=0-0.74, LF>0.75)","Age stratification (LF=0-0.33, LF=0.33-0.67, LF=0.67-1)",Censored,Problem,Var14,BW-1,BW0,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BW13,BW14,BW15,Var32,OFT,OFT 0,OFT3,OFT6,OFT9,OFT12,paw strength,2 paw_0,2 paw_3,2 paw_6,2 paw_9,2 paw_12,4 paw_0,4 paw_3,4 paw_6,4 paw_9,4 paw_12,rotarod,T0,T3,T6,T9,T12,GTT,AUC0,AUC3,AUC6,AUC9,AUC12,Fasting glucose,T1,T2,T3,T4,T5,Limb strength / BW,"2L/S 0 (!~\FT1,,,=v39/v15)","2L/S 3 (!~\FT1,,,=v41/v18)","2L/S 6 (!~\FT1,,,=v43/v21)","2L/S 9 (!~\FT1,,,=v45/v24)","2L/S 12 (!~\FT1,,,=v47/v27)",Var68,"4L/S 0 (!~\FT1,,,=v40/v15)","4L/S 3 (!~\FT1,,,=v42/v18)","4L/S 6 (!~\FT1,,,=v44/v21)","4L/S 9 (!~\FT1,,,=v46/v24)","4L/S 12 (!~\FT1,,,=v48/v27)",NECROPSIA,Examination done,Tumor,Any body damage,"BW upon death, g","Kidney mass, mg","Adrenals, mg","Spleen, mg","Liver, mg","Lungs, mg","Testicles, mg","Heart, mg",Var192,"Kidney to BW, %","Adrenals to BW, %","Spleen to BW, %","Liver to BW, %","Lungs to BW, %","Testicles to BW, %","Heart to BW, %",Var199,Var200,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12
12,3',Drinking water,F,F-H2O,2013/10/15,27/10/14,28.09.2015,2015/09/28,703,1,2,0,0,,21.9,21.5,23,24.8,25,25.7,22.1,25.8,25,24,24.9,25.6,22.2,26.440323,,,,,,0,5,0,0,,,106,65,63,62,,170,122,168,142,,,180,180,67,89,,,257.9,210.8,228.3,369,,,5.5,5.3,4,5.9,,,4.930233,2.6,2.44186,2.48996,,,7.906977,4.88,6.511628,5.702811,,,0,,,,,,,,,,,,,,,,,,,,,23,24.8,25,25.7,22.1,25.8,25,24,24.9,25.6,22.2,
13,3',Drinking water,F,F-H2O,2013/10/15,27/10/14,13.11.2014,2014/11/13,388,1,1,0,1,,24.3,27.511915,27.318908,27.798276,27.845852,27.708889,27.694009,27.494258,27.72175,27.232973,27.285882,26.93,26.951773,26.440323,,,,,,28,,,,,,100,,,,,149,,,,,,180,,,,,,316.5,,,,,,3.2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3',Drinking water,F,F-H2O,2013/10/15,27/10/14,17.11.2014,2014/11/17,392,1,1,0,1,,22.9,27.511915,27.318908,27.798276,27.845852,27.708889,27.694009,27.494258,27.72175,27.232973,27.285882,26.93,26.951773,26.440323,,,,,,11,,,,,,108,,,,,110,,,,,,180,,,,,,304.5,,,,,,4.2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6',Drinking water,F,F-H2O,2013/11/15,12/04/14,30.03.2015,2015/03/30,495,1,1,0,0,,26.5,24.1,25.1,22.8,22.6,22.3,27.694009,27.494258,27.72175,27.232973,27.285882,26.93,1/25/1900,26.440323,,,,,,0,0,,,,,117,51,,,,130,187,,,,,180,135,,,,,251.3,90.75,,,,,4.5,4.2,,,,,4.854772,2.256637,,,,,5.394191,8.274336,,,,,0,,,,,,,,,,,,,,,,,,,,,25.1,22.8,22.6,22.3,,,,,,,,
20,6',Drinking water,F,F-H2O,2013/11/15,12/04/14,24.01.2016 ×Ï,2016/01/24,789,2,3,1,0,,25.8,25.7,25.8,24,25.5,26.6,25.3,26.3,25.5,25.1,26.1,26.3,24.9,25.5,23.9,23.9,,,,6,27,26,21,28,,125,92,,67,98,196,153,189,160,157,,180,180,180,180,180,,372,283.5,,563.3,359.3,,4.3,3.7,,7,5.8,,4.863813,3.607843,,2.56705,3.843137,,7.626459,6,7.186312,6.130268,6.156863,,0,,,,,,,,,,,,,,,,,,,,,25.8,24,25.5,26.6,25.3,26.3,25.5,25.1,26.1,26.3,24.9,25.5
21,6',Drinking water,F,F-H2O,2013/11/15,12/04/14,1.12.2015,2015/01/12,417,1,1,0,0,,23.7,23.6,23.2,22,23,24.1,22.5,22.7,22.55,22.4,22.9,21.1,21.1,22.1,20.7,,,,,19,2,3,3,1,,103,87,62,55,82,167,141,184,,130,,180,180,180,180,180,,315,97.35,,180,257.3,,3.6,3.4,,4.9,3.4,,4.364407,3.782609,2.731278,2.401747,3.710407,,7.076271,6.130435,8.105727,,5.882353,,0,,,,,,,,,,,,,,,,,,,,,23.2,22,23,24.1,22.5,22.7,22.55,22.4,22.9,21.1,21.1,22.1
22,6',Drinking water,F,F-H2O,2013/11/15,12/04/14,18.01.2016,2016/01/18,783,1,3,0,0,0,20.7,19,20.3,20.9,21.2,22.1,21.6,20.9,21,21.2,20.6,21.1,20.1,20.5,19.8,18.2,,,,70,36,21,42,42,,54,67,56,68,,103,169,110,125,146,,180,180,135,150,180,,405.8,201.8,,209.3,164.3,,3.8,3.1,,4.7,4.2,,2.842105,3.160377,2.679426,3.300971,,,5.421053,7.971698,5.263158,6.067961,7.121951,,1,0,0,18.5,193.8,4.7,81.9,769.6,165.3,,99.3,,1.047568,0.025405,0.442703,4.16,0.893514,,0.536757,,,20.3,20.9,21.2,22.1,21.6,20.9,21,21.2,20.6,21.1,20.1,20.5
23,6',Drinking water,F,F-H2O,2013/11/15,12/04/14,2.04.2015,2015/02/04,439,1,1,0,0,,23.3,21.9,22.4,22.4,23.3,26.7,27.694009,27.494258,27.72175,27.232973,27.285882,26.93,1/25/1900,26.440323,,,,,,12,17,,,,,110,94,,,,167,209,,,,,180,180,,,,,327.8,229.5,,,,,4.8,3.1,,,,,5.022831,4.034335,,,,,7.625571,8.969957,,,,,0,,,,,,,,,,,,,,,,,,,,,22.4,22.4,23.3,26.7,,,,,,,,
57,19',Drinking water,F,F-H2O,2013/12/18,17/12/14,2.10.2015,2015/02/10,412,1,1,0,0,0,26.9,23.1,26.9,27.6,25.7,27.9,27.1,27.4,26.7,28.4,27.9,26.93,26.951773,26.440323,,,,,,3,6,14,17,,,101,100,107,82,,179,209,191,183,,,,180,180,156,,,369,387,328.5,182.7,,,5.4,3.6,5.3,4.4,,,4.372294,3.891051,3.905109,2.939068,,,7.748918,8.132296,6.970803,6.55914,,,1,0,0,18.9,115.7,1.9,11.8,364.4,133.9,,115,,0.612169,0.010053,0.062434,1.928042,0.708466,,0.608466,,,26.9,27.6,25.7,27.9,27.1,27.4,26.7,28.4,27.9,,,
58,19',Drinking water,F,F-H2O,2013/12/18,17/12/14,29.12.2015,2015/12/29,731,1,2,0,0,0,24.1,21.4,23.4,23.3,22.3,22.4,23,23.1,22.8,22.3,23.6,23.9,22.4,22.1,,,,,,0,0,0,0,0,,82,92,81,61,73,182,164,120,12,102,,,119,83,76,180,,194,192.6,167.3,192,236.3,,3.2,3.6,5.4,3.7,3.8,,3.831776,4.125561,3.506494,2.584746,3.303167,,8.504673,7.35426,5.194805,,4.615385,,1,0,0,15.1,214.9,4.4,56.5,501.6,153.6,,103.6,,1.423179,0.029139,0.374172,3.321854,1.017219,,0.686093,,,23.4,23.3,22.3,22.4,23,23.1,22.8,22.3,23.6,23.9,22.4,22.1
